9031_GENEID,9606_GENEID
395953,10642
420617,10643
424865,10644
424138,10651
430371,10652
101747962,10654
420317,10656
374071,10657
374111,10659
396274,10664
772097,10666
428482,10667
776040,10668
771257,10671
421286,10678
429147,10686
771133,10690
418486,10694
100858990,10695
100857733,10699
429029,10716
423168,8539
415866,10725
419578,10726
771446,10732
419878,10745
407089,10747
416523,10750
420455,10771
417108,10773
428827,10798
420876,10799
428691,10800
421498,10806
427615,10809
419923,10817
417845,10818
430542,10825
395726,10841
420753,10842
415527,10845
421574,10846
772098,7162
418263,10867
417188,10868
422748,10874
768821,10875
430993,10882
423038,10894
418827,10910
416349,10915
421428,2739
424020,10920
426636,10922
776223,10924
423735,132
395886,4286
395207,2491
421672,3097
396055,3199
427022,3300
415502,11214
418058,4174
396166,5950
769654,6645
424118,6744
417159,6837
417708,6856
423019,6888
419552,7805
426789,7994
421166,8216
772041,8315
373901,8543
395488,8685
422367,10009
426985,10435
395771,10804
427952,10885
426852,10892
429466,10928
419915,10930
416299,9499
428986,10935
428544,10936
421036,10939
419608,10946
426790,10947
419188,10953
424249,10954
421817,10957
100859676,10960
416882,10961
101748085,10963
417338,10966
424558,10969
418073,10970
423362,10972
421790,10973
423131,10978
423589,10979
422634,10983
417912,10988
429200,10991
416235:416236,11005
419949,11011
769661,11016
424499,50999
422791,11019
418053,11020
425667,11022
430750,11031
422439,1998
420842,2766
807636,4535
807646,4508
807641,4519
807637,4514
807639,4512
807635,4513
807638,4537
807645,4536
424298,3176
431212,3232
426573,3420
395376,5591
418675,6102
100857756,6309
427832,6388
395139,6483
396007,6490
424576,6536
395573,6663
777179,6666
418469,6782
423872,6877
418345,7348
418242,7380
423505,7597
420996,8013
427871,8092
418790,9071
772026,9501
417513,10156
418291,10233
770430,10360
421001,10590
770425,11044
100858636,11051
404537,11055
417660,11056
395600,11061
100859413,11065
429757,11070
417657,11072
396095,11075
100859397,11078
373995,11081
430807,11082
769222,11095
427971,11096
423398,11099
417863,11103
421568,11116
424629,11124
423727,11128
