GENEID_10181,GENEID_9606
101723913,26277
101723796,1618
101721940,90665
101717792,57556
101709993,54822
101699773,7301
101697052,79968
101707543,825
101704831,6913
101712402,26227
101721633,7430
101716332,4637
101715713,26523
101717196,27285
101713948,63967
101699936,117584
101700358,201294
101720242,79157
101710925,1808
101707457,7042
101706119,55105
101702165,10762
101714952,8318
101717730,1312
101724572,55350
101721458,55862
101717219,9117
101712072,9942
101708442,10013
101703647,2568
101724964,990
101721108,139596
101711746,8697
101726045,8086
101710464,23468
101710590,2327
101699006,51430
101706924,4436
101720769,4214
101708097,1725
101712752,29911
101717582,372
101720989,54566
101700041,55151
101712371,5711
101698854,5742
101711408,23511
101706994,1384
101723231,10044
101721582,54187
101720268,55357
101723114,25861
101702814,5146
101720230,55280
101719579,57715
101725093,9044
101699513,64376
101713756,7093
101699044,1592
101712546,56165
101711592,10580
101706796,55118
101708610,25805
101706029,51322
101704162,51322
101700499,1390
101696763,10101
101715337,284422
101724417,3096
101717064,54209
101711771,83795
101719771,10321
101718430,2289
101717748,6732
101707091,55168
101713573,5225
101715803,28978
101717297,114327
101699803,3326
101726375,988
101706978,3710
101709370,7738
101708187,1832
101720282,23411
101697454,3189
101710134,80173
101717708,3717
101724428,25
101705865,11332
101708379,51100
101720948,8317
101714114,84144
101711492,5125
101699087,11018
101703529,3983
101720012,79956
101697571,22931
101710157,8829
101716376,54873
101709829,23555
101712013,55506
101702669,23031
101718616,7593
101716787,7593
101725303,4650
101704019,9424
101704732,54620
101707042,112755
101708818,80270
101703174,9274
101703816,1943
101704185,1153
101706462,513
101707563,255057
101726656,3483
101702054,4670
101720054,51257
101716634,4713
101716060,9524
101702512,26517
101707329,26517
101722410,997
101699032,283638
101709249,5434
101721232,5442
101722649,610
101709968,53841
101714032,113177
101710909,4616
101718885,5064
101723568,8174
101720743,421
101726103,27037
101726722,5902
101697065,29801
101697152,84861
101697759,51586
101707136,3053
101706290,9342
101705695,1399
101703765,8216
101699533,4320
101714324,27443
101698715,6598
101702346,9127
101698064,91319
101700946,6545
101711722,23786
101717732,100037417
101717732,1652
101717732,100037417
101724270,23523
101716701,83874
101723909,56241
101716117,10291
101723554,2687
101714705,200312
